Country,Price,Year,countryISO
Belgium,0.1929,2017,BEL
Bulgaria,0.0796,2017,BGR
Czechia,0.1176,2017,CZE
Denmark,0.094,2017,DNK
Germany,0.1389,2017,DEU
Estonia,0.0926,2017,EST
Ireland,0.1846,2017,IRL
Greece,0.1139,2017,GRC
Spain,0.1805,2017,ESP
France,0.1089,2017,FRA
Croatia,0.1011,2017,HRV
Italy,0.1322,2017,ITA
Cyprus,0.1454,2017,CYP
Latvia,0.1043,2017,LVA
Lithuania,0.0783,2017,LTU
Luxembourg,0.1167,2017,LUX
Hungary,0.0886,2017,HUN
Malta,0.125,2017,MLT
Netherlands,0.1146,2017,NLD
Austria,0.1221,2017,AUT
Poland,0.096,2017,POL
Portugal,0.1106,2017,PRT
Romania,0.0871,2017,ROU
Slovenia,0.1104,2017,SVN
Slovakia,0.0832,2017,SVK
Finland,0.1049,2017,FIN
Sweden,0.1257,2017,SWE
Iceland,0.1263,2017,ISL
Liechtenstein,0.1456,2017,LIE
Norway,0.1163,2017,NOR
United Kingdom,0.1344,2017,GBR
Bosnia and Herzegovina,0.072,2017,BIH
Montenegro,0.0804,2017,MNE
Moldova,0.0977,2017,MDA
North Macedonia,0.0695,2017,MKD
Albania,0.0703,2017,ALB
Serbia,0.0508,2017,SRB
Türkiye,0.0845,2017,TUR
Ukraine,0.0328,2017,UKR
Belgium,0.1872,2018,BEL
Bulgaria,0.0816,2018,BGR
Czechia,0.1286,2018,CZE
Denmark,0.1011,2018,DNK
Germany,0.1379,2018,DEU
Estonia,0.0989,2018,EST
Ireland,0.1846,2018,IRL
Greece,0.1132,2018,GRC
Spain,0.1873,2018,ESP
France,0.1134,2018,FRA
Croatia,0.102,2018,HRV
Italy,0.1285,2018,ITA
Cyprus,0.1445,2018,CYP
Latvia,0.1035,2018,LVA
Lithuania,0.0771,2018,LTU
Luxembourg,0.1283,2018,LUX
Hungary,0.0885,2018,HUN
Malta,0.1209,2018,MLT
Netherlands,0.1187,2018,NLD
Austria,0.1232,2018,AUT
Poland,0.0906,2018,POL
Portugal,0.1007,2018,PRT
Romania,0.099,2018,ROU
Slovenia,0.1108,2018,SVN
Slovakia,0.0942,2018,SVK
Finland,0.1074,2018,FIN
Sweden,0.1202,2018,SWE
Iceland,0.1222,2018,ISL
Liechtenstein,0.1651,2018,LIE
Norway,0.1254,2018,NOR
United Kingdom,0.1347,2018,GBR
Bosnia and Herzegovina,0.0722,2018,BIH
Montenegro,0.0828,2018,MNE
Moldova,0.102,2018,MDA
North Macedonia,0.0662,2018,MKD
Georgia,0.058,2018,GEO
Serbia,0.0539,2018,SRB
