Year,Price,Country,Fuel,countryISO
2025,682.05,Austria,Petrol,AUT
2025,700.38,Austria,Petrol,AUT
2025,699.55,Austria,Petrol,AUT
2025,698.72,Austria,Petrol,AUT
2025,692.05,Austria,Petrol,AUT
2025,708.72,Austria,Petrol,AUT
2025,715.38,Austria,Petrol,AUT
2025,688.72,Austria,Petrol,AUT
2025,677.88,Austria,Petrol,AUT
2024,671.42,Austria,Petrol,AUT
2024,676.42,Austria,Petrol,AUT
2024,668.08,Austria,Petrol,AUT
2024,659.75,Austria,Petrol,AUT
2024,658.92,Austria,Petrol,AUT
2024,663.08,Austria,Petrol,AUT
2024,658.08,Austria,Petrol,AUT
2024,650.58,Austria,Petrol,AUT
2024,641.42,Austria,Petrol,AUT
2024,658.08,Austria,Petrol,AUT
2024,659.75,Austria,Petrol,AUT
2024,668.92,Austria,Petrol,AUT
2024,656.42,Austria,Petrol,AUT
2024,633.08,Austria,Petrol,AUT
2024,641.42,Austria,Petrol,AUT
2024,657.25,Austria,Petrol,AUT
2024,662.25,Austria,Petrol,AUT
2024,686.42,Austria,Petrol,AUT
2024,691.42,Austria,Petrol,AUT
2024,710.58,Austria,Petrol,AUT
2024,718.92,Austria,Petrol,AUT
2024,738.08,Austria,Petrol,AUT
2024,741.42,Austria,Petrol,AUT
2024,743.08,Austria,Petrol,AUT
2024,763.92,Austria,Petrol,AUT
2024,765.58,Austria,Petrol,AUT
2024,757.25,Austria,Petrol,AUT
2024,748.82,Austria,Petrol,AUT
2024,743.82,Austria,Petrol,AUT
2024,730.49,Austria,Petrol,AUT
2024,753.82,Austria,Petrol,AUT
2024,766.32,Austria,Petrol,AUT
2024,764.66,Austria,Petrol,AUT
2024,782.99,Austria,Petrol,AUT
2024,791.32,Austria,Petrol,AUT
2024,802.16,Austria,Petrol,AUT
2024,806.32,Austria,Petrol,AUT
2024,806.32,Austria,Petrol,AUT
2024,795.49,Austria,Petrol,AUT
2024,772.16,Austria,Petrol,AUT
2024,749.66,Austria,Petrol,AUT
2024,737.99,Austria,Petrol,AUT
2024,737.99,Austria,Petrol,AUT
2024,738.82,Austria,Petrol,AUT
2024,736.32,Austria,Petrol,AUT
2024,741.32,Austria,Petrol,AUT
