year,exporter,flow,importer,resource,weight (kg),value (US$),exporterISO,importerISO,exporter continent,importer continent
2017,Afghanistan,Export,Pakistan,Coal,0.0,43546609.57,AFG,PAK,Asia,Asia
2017,Azerbaijan,Export,Georgia,Coal,346440.0,31179.6,AZE,GEO,Asia,Asia
2017,Argentina,Export,Bolivia (Plurinational State of),Coal,20478.0,14976.12,ARG,BOL,South America,South America
2017,Argentina,Export,Brazil,Coal,3049100.0,494711.18,ARG,BRA,South America,South America
2017,Argentina,Export,Chile,Coal,2100.0,3129.0,ARG,CHL,South America,South America
2017,Argentina,Export,Uruguay,Coal,312.0,511.68,ARG,URY,South America,South America
2017,Australia,Export,Argentina,Coal,387950000.0,70131629.46,AUS,ARG,Oceania,South America
2017,Australia,Export,Austria,Coal,76750000.0,12935284.459,AUS,AUT,Oceania,Europe
2017,Australia,Export,Belgium,Coal,918098000.0,154995369.792,AUS,BEL,Oceania,Europe
2017,Australia,Export,Brazil,Coal,5789218000.0,959498082.925,AUS,BRA,Oceania,South America
2017,Australia,Export,Myanmar,Coal,83502670.0,5603450.494,AUS,MMR,Oceania,Asia
2017,Australia,Export,Chile,Coal,2200987000.0,213157011.708,AUS,CHL,Oceania,South America
2017,Australia,Export,China,Coal,83406903070.0,9041860694.915,AUS,CHN,Oceania,Asia
2017,Australia,Export,France,Coal,2778822000.0,522355361.733,AUS,FRA,Oceania,Europe
2017,Australia,Export,Germany,Coal,409364000.0,76883630.298,AUS,DEU,Oceania,Europe
2017,Australia,Export,"China, Hong Kong SAR",Coal,292492000.0,24694874.037,AUS,HKG,Oceania,Asia
2017,Australia,Export,Indonesia,Coal,3119688920.0,340538670.261,AUS,IDN,Oceania,Asia
2017,Australia,Export,Iran,Coal,177846000.0,28536183.871,AUS,IRN,Oceania,Asia
2017,Australia,Export,Italy,Coal,328872000.0,79161252.644,AUS,ITA,Oceania,Europe
2017,Australia,Export,Japan,Coal,117443310000.0,12652188786.347,AUS,JPN,Oceania,Asia
2017,Australia,Export,Kazakhstan,Coal,10.0,192.46,AUS,KAZ,Oceania,Asia
2017,Australia,Export,Rep. of Korea,Coal,48831121000.0,5277368367.533,AUS,KOR,Oceania,Asia
2017,Australia,Export,Malaysia,Coal,6295057000.0,549334999.075,AUS,MYS,Oceania,Asia
2017,Australia,Export,Mongolia,Coal,4000.0,653.291,AUS,MNG,Oceania,Asia
2017,Australia,Export,Nauru,Coal,1600.0,1932.268,AUS,NRU,Oceania,Oceania
2017,Australia,Export,Netherlands,Coal,7042243000.0,1325940105.493,AUS,NLD,Oceania,Europe
2017,Australia,Export,New Caledonia,Coal,1047190000.0,93683870.343,AUS,NCL,Oceania,Oceania
2017,Australia,Export,New Zealand,Coal,112895800.0,8779821.511,AUS,NZL,Oceania,Oceania
2017,Australia,Export,Pakistan,Coal,51425000.0,3526975.762,AUS,PAK,Oceania,Asia
2017,Australia,Export,Papua New Guinea,Coal,5940.0,7516.678,AUS,PNG,Oceania,Oceania
2017,Australia,Export,Philippines,Coal,1665540000.0,147236980.663,AUS,PHL,Oceania,Asia
2017,Australia,Export,Poland,Coal,1160257000.0,225777574.874,AUS,POL,Oceania,Europe
2017,Australia,Export,Romania,Coal,153505000.0,22789078.418,AUS,ROU,Oceania,Europe
2017,Australia,Export,India,Coal,44331220000.0,7040077629.983,AUS,IND,Oceania,Asia
2017,Australia,Export,Singapore,Coal,23000.0,11106.71,AUS,SGP,Oceania,Asia
2017,Australia,Export,Viet Nam,Coal,4038573000.0,472859722.28,AUS,VNM,Oceania,Asia
2017,Australia,Export,Slovenia,Coal,385132000.0,83751605.582,AUS,SVN,Oceania,Europe
2017,Australia,Export,South Africa,Coal,1194706000.0,239734908.967,AUS,ZAF,Oceania,Africa
2017,Australia,Export,Spain,Coal,869891000.0,171609469.509,AUS,ESP,Oceania,Europe
2017,Australia,Export,Sweden,Coal,790176000.0,150328505.924,AUS,SWE,Oceania,Europe
2017,Australia,Export,Thailand,Coal,3913540140.0,277112962.403,AUS,THA,Oceania,Asia
2017,Australia,Export,United Arab Emirates,Coal,152545000.0,9576657.587,AUS,ARE,Oceania,Asia
2017,Australia,Export,Türkiye,Coal,570453000.0,94707933.523,AUS,TUR,Oceania,Asia
2017,Australia,Export,Ukraine,Coal,245031000.0,38196813.092,AUS,UKR,Oceania,Europe
2017,Australia,Export,Egypt,Coal,19800.0,13955.272,AUS,EGY,Oceania,Africa
2017,Australia,Export,United Kingdom,Coal,934771000.0,152881801.638,AUS,GBR,Oceania,Europe
2017,Australia,Export,USA,Coal,104305000.0,13889124.25,AUS,USA,Oceania,North America
2017,Austria,Export,Hungary,Coal,700.0,151.326,AUT,HUN,Europe,Europe
2017,Austria,Export,Italy,Coal,127300.0,19510.934,AUT,ITA,Europe,Europe
